"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:12.172305+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:13.170763+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:14.172903+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:14.175873+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:15.170382+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:16.176966+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:17.170901+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:19.171593+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:20.315169+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:22.172948+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:22.174344+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:25.176675+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:26.173360+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:26.265724+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:28.170462+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:30.172479+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:30.173866+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:32.268932+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:33.172055+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:34.179230+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:35.385364+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.55, yesterday high=95.64, time=2025-08-13 09:35:37.175995+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.89, yesterday high=95.64, time=2025-08-13 09:35:38.174902+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:38.263516+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:39.269750+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:40.170281+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:41.264399+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.9, yesterday high=95.64, time=2025-08-13 09:35:43.174716+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:44.264314+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:46.172369+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.6, yesterday high=673.97, time=2025-08-13 09:35:47.171575+05:00"
